query_id,workload,pred
0,14.txt,164.83658447265626
1,83.txt,194.64287109375
10,98.txt,214.8423095703125
11,55.txt,164.5372802734375
12,39.txt,172.953271484375
13,69.txt,128.02373046875
14,39.txt,172.61824951171874
15,69.txt,128.028173828125
16,17.txt,187.002685546875
17,14.txt,198.4421875
18,149.txt,183.2453369140625
19,102.txt,187.3011474609375
2,17.txt,187.002685546875
20,17.txt,183.6751220703125
21,0.txt,135.59140625
22,61.txt,175.21253662109376
23,69.txt,129.064013671875
24,141.txt,229.6684814453125
25,69.txt,128.0247314453125
26,185.txt,230.9072998046875
27,61.txt,182.689306640625
28,39.txt,186.77288818359375
29,127.txt,170.009912109375
3,124.txt,191.0223388671875
30,39.txt,168.537548828125
31,83.txt,170.2053955078125
32,0.txt,135.599560546875
33,83.txt,170.134619140625
34,17.txt,187.0027099609375
4,17.txt,222.094677734375
5,17.txt,166.411328125
6,61.txt,175.21268310546876
7,83.txt,184.616015625
8,61.txt,186.5585205078125
9,94.txt,225.29990234375
